id,industry,company_size_desc,company_size_tag,problem_title,raw_input_text,stakeholders,existing_systems,budget_band,timeline_target,discovery_questions,gap_analysis,brd_objectives,functional_requirements,non_functional_requirements,assumptions,hld_summary,tech_stack,security_notes,effort_breakdown_json,cost_band
103522,Real Estate,"a 2,000+ employee enterprise",enterprise,Siloed departments,"We're a 2,000+ employee enterprise in the real estate space. Marketing, sales, and support each use different tools that don't talk to each other. Right now we rely on no formal system — mostly email. We'd like this fixed in roughly 3 months, budget is around under $20K. Key people involved: Regional Manager; Founder/CEO; Compliance Officer.",Regional Manager; Founder/CEO; Compliance Officer,no formal system — mostly email,under $20K,3 months,Do you need this to integrate with any other tools beyond no formal system — mostly email? | How many regional manager currently touch this process each week? | Are there any compliance or data-residency requirements we should design around? | What's the rough budget band you're planning around?,"Current state: Marketing, sales, and support each use different tools that don't talk to each other. Desired state: a single system of record that regional manager and compliance officer can both rely on, with automated handoffs replacing the manual steps in no formal system — mostly email.","Eliminate manual handling of 'siloed departments', give leadership real-time visibility, and reduce processing time/errors within 3 months.",Capture and structure the data currently spread across no formal system — mostly email; automate the workflow steps tied to 'siloed departments'; provide role-based dashboards for Regional Manager and Compliance Officer; notify stakeholders on status changes.,99.5% uptime target; page loads under 2s for core screens; role-based access control; audit log for all record changes.,Assumes no formal system — mostly email data can be exported or accessed via API; assumes budget band (under $20K) covers a single-region deployment.,"A Vue.js client talks to a Python/FastAPI API layer, which reads/writes to MongoDB and handles the core 'siloed departments' workflow; async jobs handle notifications and reporting; deployed on AWS.",Frontend: Vue.js. Backend: Python/FastAPI (strong fit for data-heavy logic and quick iteration). Database: MongoDB (flexible schema for fast-changing document structures). Hosting: AWS (broad managed-service ecosystem and mature tooling).,Standard encryption in transit (TLS) and at rest; role-based access scoped per workspace.,"{""discovery_weeks"": 3, ""design_weeks"": 3, ""build_weeks"": 16, ""test_weeks"": 1, ""deploy_weeks"": 3, ""total_weeks"": 26}",low
103523,Healthcare,a 5-person startup,startup,Onboarding takes too long,"We're a 5-person startup in the healthcare space. New employee or customer onboarding takes weeks because of manual, sequential steps. Right now we rely on HubSpot free tier. We'd like this fixed in roughly 3 months, budget is around under $20K. Key people involved: CFO.",CFO,HubSpot free tier,under $20K,3 months,"Is HubSpot free tier staying in place, or is this a full replacement? | What's the rough budget band you're planning around? | How many cfo currently touch this process each week?","Current state: New employee or customer onboarding takes weeks because of manual, sequential steps. Desired state: a single system of record that cfo and cfo can both rely on, with automated handoffs replacing the manual steps in HubSpot free tier.","Eliminate manual handling of 'onboarding takes too long', give leadership real-time visibility, and reduce processing time/errors within 3 months.",Capture and structure the data currently spread across HubSpot free tier; automate the workflow steps tied to 'onboarding takes too long'; provide role-based dashboards for CFO and CFO; notify stakeholders on status changes.,99.5% uptime target; page loads under 2s for core screens; role-based access control; audit log for all record changes.,Assumes HubSpot free tier data can be exported or accessed via API; assumes budget band (under $20K) covers a single-region deployment.,"A Angular client talks to a Java/Spring Boot API layer, which reads/writes to PostgreSQL and handles the core 'onboarding takes too long' workflow; async jobs handle notifications and reporting; deployed on GCP.",Frontend: Angular. Backend: Java/Spring Boot (matches enterprise reliability and existing ops skillset). Database: PostgreSQL (relational integrity for transactional records). Hosting: GCP (strong data/analytics tooling at competitive cost).,HIPAA-aligned storage and access controls; PHI encrypted at rest and in transit.,"{""discovery_weeks"": 1, ""design_weeks"": 3, ""build_weeks"": 10, ""test_weeks"": 3, ""deploy_weeks"": 2, ""total_weeks"": 19}",low
103524,Retail,a 5-person startup,startup,Fragmented customer data,"We're a 5-person startup in the retail space. Customer records live in three or more systems that never sync with each other. Right now we rely on HubSpot free tier. We'd like this fixed in roughly 6 months, budget is around $20K-$75K. Key people involved: Warehouse Supervisors.",Warehouse Supervisors,HubSpot free tier,$20K-$75K,6 months,"Are there any compliance or data-residency requirements we should design around? | What's the target timeline — 6 months was mentioned, is that firm? | What does success look like in 90 days after launch?","Current state: Customer records live in three or more systems that never sync with each other. Desired state: a single system of record that warehouse supervisors and warehouse supervisors can both rely on, with automated handoffs replacing the manual steps in HubSpot free tier.","Eliminate manual handling of 'fragmented customer data', give leadership real-time visibility, and reduce processing time/errors within 6 months.",Capture and structure the data currently spread across HubSpot free tier; automate the workflow steps tied to 'fragmented customer data'; provide role-based dashboards for Warehouse Supervisors and Warehouse Supervisors; notify stakeholders on status changes.,99.5% uptime target; page loads under 2s for core screens; role-based access control; audit log for all record changes.,Assumes HubSpot free tier data can be exported or accessed via API; assumes budget band ($20K-$75K) covers a single-region deployment.,"A React client talks to a Python/FastAPI API layer, which reads/writes to MySQL and handles the core 'fragmented customer data' workflow; async jobs handle notifications and reporting; deployed on AWS.","Frontend: React. Backend: Python/FastAPI (strong fit for data-heavy logic and quick iteration). Database: MySQL (widely supported, low operational overhead). Hosting: AWS (broad managed-service ecosystem and mature tooling).",Standard encryption in transit (TLS) and at rest; role-based access scoped per workspace.,"{""discovery_weeks"": 2, ""design_weeks"": 1, ""build_weeks"": 4, ""test_weeks"": 2, ""deploy_weeks"": 1, ""total_weeks"": 10}",low
103525,Healthcare,a 40-person SME,sme,Scheduling conflicts,"We're a 40-person SME in the healthcare space. Staff and resource scheduling happens in shared spreadsheets and constantly clashes. Right now we rely on a mix of Zoho apps. We'd like this fixed in roughly 12-18 months, budget is around $75K-$250K. Key people involved: Product Manager.",Product Manager,a mix of Zoho apps,$75K-$250K,12-18 months,"Who signs off on the final solution — is it Product Manager? | Is a mix of Zoho apps staying in place, or is this a full replacement? | What does success look like in 90 days after launch?","Current state: Staff and resource scheduling happens in shared spreadsheets and constantly clashes. Desired state: a single system of record that product manager and product manager can both rely on, with automated handoffs replacing the manual steps in a mix of Zoho apps.","Eliminate manual handling of 'scheduling conflicts', give leadership real-time visibility, and reduce processing time/errors within 12-18 months.",Capture and structure the data currently spread across a mix of Zoho apps; automate the workflow steps tied to 'scheduling conflicts'; provide role-based dashboards for Product Manager and Product Manager; notify stakeholders on status changes.,99.5% uptime target; page loads under 2s for core screens; role-based access control; audit log for all record changes.,Assumes a mix of Zoho apps data can be exported or accessed via API; assumes budget band ($75K-$250K) covers a single-region deployment.,"A React Native (mobile-first) client talks to a Python/FastAPI API layer, which reads/writes to MongoDB and handles the core 'scheduling conflicts' workflow; async jobs handle notifications and reporting; deployed on Azure.",Frontend: React Native (mobile-first). Backend: Python/FastAPI (strong fit for data-heavy logic and quick iteration). Database: MongoDB (flexible schema for fast-changing document structures). Hosting: Azure (fits an existing Microsoft 365 / enterprise agreement).,HIPAA-aligned storage and access controls; PHI encrypted at rest and in transit.,"{""discovery_weeks"": 1, ""design_weeks"": 2, ""build_weeks"": 7, ""test_weeks"": 3, ""deploy_weeks"": 2, ""total_weeks"": 15}",mid
103526,Agriculture,"a 2,000+ employee enterprise",enterprise,No audit trail,"We're a 2,000+ employee enterprise in the agriculture space. Changes to records aren't logged anywhere, which makes audits painful and risky. Right now we rely on Shopify plus manual spreadsheets. We'd like this fixed in roughly 9-12 months, budget is around $20K-$75K. Key people involved: Founder/CEO; IT Director; VP of Sales; Head of Customer Support.",Founder/CEO; IT Director; VP of Sales; Head of Customer Support,Shopify plus manual spreadsheets,$20K-$75K,9-12 months,Are there any compliance or data-residency requirements we should design around? | What does success look like in 90 days after launch? | What's the rough budget band you're planning around?,"Current state: Changes to records aren't logged anywhere, which makes audits painful and risky. Desired state: a single system of record that founder/ceo and head of customer support can both rely on, with automated handoffs replacing the manual steps in Shopify plus manual spreadsheets.","Eliminate manual handling of 'no audit trail', give leadership real-time visibility, and reduce processing time/errors within 9-12 months.",Capture and structure the data currently spread across Shopify plus manual spreadsheets; automate the workflow steps tied to 'no audit trail'; provide role-based dashboards for Founder/CEO and Head of Customer Support; notify stakeholders on status changes.,99.5% uptime target; page loads under 2s for core screens; role-based access control; audit log for all record changes.,Assumes Shopify plus manual spreadsheets data can be exported or accessed via API; assumes budget band ($20K-$75K) covers a single-region deployment.,"A React Native (mobile-first) client talks to a .NET Core API layer, which reads/writes to MySQL and handles the core 'no audit trail' workflow; async jobs handle notifications and reporting; deployed on AWS.","Frontend: React Native (mobile-first). Backend: .NET Core (aligns with an existing Microsoft-centric environment). Database: MySQL (widely supported, low operational overhead). Hosting: AWS (broad managed-service ecosystem and mature tooling).",Standard encryption in transit (TLS) and at rest; role-based access scoped per workspace.,"{""discovery_weeks"": 1, ""design_weeks"": 1, ""build_weeks"": 14, ""test_weeks"": 3, ""deploy_weeks"": 3, ""total_weeks"": 22}",low
103527,Healthcare,a 300-person mid-market company,mid-market,Forecasting is guesswork,"We're a 300-person mid-market company in the healthcare space. Demand and revenue forecasting is based on gut feel, not historical data. Right now we rely on a homegrown PHP app from 2012. We'd like this fixed in roughly 9-12 months, budget is around $250K-$750K. Key people involved: Store Managers; Head of Customer Support.",Store Managers; Head of Customer Support,a homegrown PHP app from 2012,$250K-$750K,9-12 months,"Is a homegrown PHP app from 2012 staying in place, or is this a full replacement? | How many store managers currently touch this process each week? | What's the rough budget band you're planning around? | Are there any compliance or data-residency requirements we should design around? | What does success look like in 90 days after launch?","Current state: Demand and revenue forecasting is based on gut feel, not historical data. Desired state: a single system of record that store managers and head of customer support can both rely on, with automated handoffs replacing the manual steps in a homegrown PHP app from 2012.","Eliminate manual handling of 'forecasting is guesswork', give leadership real-time visibility, and reduce processing time/errors within 9-12 months.",Capture and structure the data currently spread across a homegrown PHP app from 2012; automate the workflow steps tied to 'forecasting is guesswork'; provide role-based dashboards for Store Managers and Head of Customer Support; notify stakeholders on status changes.,99.5% uptime target; page loads under 2s for core screens; role-based access control; audit log for all record changes.,Assumes a homegrown PHP app from 2012 data can be exported or accessed via API; assumes budget band ($250K-$750K) covers a single-region deployment.,"A Angular client talks to a Python/FastAPI API layer, which reads/writes to MySQL and handles the core 'forecasting is guesswork' workflow; async jobs handle notifications and reporting; deployed on GCP.","Frontend: Angular. Backend: Python/FastAPI (strong fit for data-heavy logic and quick iteration). Database: MySQL (widely supported, low operational overhead). Hosting: GCP (strong data/analytics tooling at competitive cost).",HIPAA-aligned storage and access controls; PHI encrypted at rest and in transit.,"{""discovery_weeks"": 2, ""design_weeks"": 1, ""build_weeks"": 5, ""test_weeks"": 3, ""deploy_weeks"": 2, ""total_weeks"": 13}",mid
103528,Energy & Utilities,"a 2,000+ employee enterprise",enterprise,Paper-based approvals,"We're a 2,000+ employee enterprise in the energy & utilities space. Approval chains rely on printed forms and physical signatures, slowing everything down. Right now we rely on an outdated Microsoft Access database. We'd like this fixed in roughly 6 weeks, budget is around $20K-$75K. Key people involved: Head of Marketing; IT Director; Compliance Officer.",Head of Marketing; IT Director; Compliance Officer,an outdated Microsoft Access database,$20K-$75K,6 weeks,"Is an outdated Microsoft Access database staying in place, or is this a full replacement? | Do you need this to integrate with any other tools beyond an outdated Microsoft Access database? | How many it director currently touch this process each week?","Current state: Approval chains rely on printed forms and physical signatures, slowing everything down. Desired state: a single system of record that head of marketing and compliance officer can both rely on, with automated handoffs replacing the manual steps in an outdated Microsoft Access database.","Eliminate manual handling of 'paper-based approvals', give leadership real-time visibility, and reduce processing time/errors within 6 weeks.",Capture and structure the data currently spread across an outdated Microsoft Access database; automate the workflow steps tied to 'paper-based approvals'; provide role-based dashboards for Head of Marketing and Compliance Officer; notify stakeholders on status changes.,99.5% uptime target; page loads under 2s for core screens; role-based access control; audit log for all record changes.,Assumes an outdated Microsoft Access database data can be exported or accessed via API; assumes budget band ($20K-$75K) covers a single-region deployment.,"A Angular client talks to a Python/FastAPI API layer, which reads/writes to MongoDB and handles the core 'paper-based approvals' workflow; async jobs handle notifications and reporting; deployed on GCP.",Frontend: Angular. Backend: Python/FastAPI (strong fit for data-heavy logic and quick iteration). Database: MongoDB (flexible schema for fast-changing document structures). Hosting: GCP (strong data/analytics tooling at competitive cost).,Standard encryption in transit (TLS) and at rest; role-based access scoped per workspace.,"{""discovery_weeks"": 1, ""design_weeks"": 3, ""build_weeks"": 9, ""test_weeks"": 1, ""deploy_weeks"": 1, ""total_weeks"": 15}",low
103529,Travel & Tourism,"a 2,000+ employee enterprise",enterprise,Onboarding takes too long,"We're a 2,000+ employee enterprise in the travel & tourism space. New employee or customer onboarding takes weeks because of manual, sequential steps. Right now we rely on QuickBooks. We'd like this fixed in roughly 6 weeks, budget is around $20K-$75K. Key people involved: Warehouse Supervisors; Product Manager.",Warehouse Supervisors; Product Manager,QuickBooks,$20K-$75K,6 weeks,"What's the target timeline — 6 weeks was mentioned, is that firm? | What's the rough budget band you're planning around? | Is QuickBooks staying in place, or is this a full replacement? | How many warehouse supervisors currently touch this process each week? | Are there any compliance or data-residency requirements we should design around?","Current state: New employee or customer onboarding takes weeks because of manual, sequential steps. Desired state: a single system of record that warehouse supervisors and product manager can both rely on, with automated handoffs replacing the manual steps in QuickBooks.","Eliminate manual handling of 'onboarding takes too long', give leadership real-time visibility, and reduce processing time/errors within 6 weeks.",Capture and structure the data currently spread across QuickBooks; automate the workflow steps tied to 'onboarding takes too long'; provide role-based dashboards for Warehouse Supervisors and Product Manager; notify stakeholders on status changes.,99.5% uptime target; page loads under 2s for core screens; role-based access control; audit log for all record changes.,Assumes QuickBooks data can be exported or accessed via API; assumes budget band ($20K-$75K) covers a single-region deployment.,"A React Native (mobile-first) client talks to a Node.js/Express API layer, which reads/writes to MySQL and handles the core 'onboarding takes too long' workflow; async jobs handle notifications and reporting; deployed on AWS.","Frontend: React Native (mobile-first). Backend: Node.js/Express (fast to build with, shares JS with the frontend team). Database: MySQL (widely supported, low operational overhead). Hosting: AWS (broad managed-service ecosystem and mature tooling).",Standard encryption in transit (TLS) and at rest; role-based access scoped per workspace.,"{""discovery_weeks"": 1, ""design_weeks"": 4, ""build_weeks"": 6, ""test_weeks"": 1, ""deploy_weeks"": 1, ""total_weeks"": 13}",low
103530,Legal Services,a 300-person mid-market company,mid-market,Legacy system can't scale,"We're a 300-person mid-market company in the legal services space. The aging core system can't handle current transaction volume without crashing. Right now we rely on HubSpot free tier. We'd like this fixed in roughly 6 weeks, budget is around $75K-$250K. Key people involved: Regional Manager; HR Director.",Regional Manager; HR Director,HubSpot free tier,$75K-$250K,6 weeks,"Do you need this to integrate with any other tools beyond HubSpot free tier? | What's the target timeline — 6 weeks was mentioned, is that firm? | Is HubSpot free tier staying in place, or is this a full replacement?","Current state: The aging core system can't handle current transaction volume without crashing. Desired state: a single system of record that regional manager and hr director can both rely on, with automated handoffs replacing the manual steps in HubSpot free tier.","Eliminate manual handling of 'legacy system can't scale', give leadership real-time visibility, and reduce processing time/errors within 6 weeks.",Capture and structure the data currently spread across HubSpot free tier; automate the workflow steps tied to 'legacy system can't scale'; provide role-based dashboards for Regional Manager and HR Director; notify stakeholders on status changes.,99.5% uptime target; page loads under 2s for core screens; role-based access control; audit log for all record changes.,Assumes HubSpot free tier data can be exported or accessed via API; assumes budget band ($75K-$250K) covers a single-region deployment.,"A React Native (mobile-first) client talks to a Python/FastAPI API layer, which reads/writes to PostgreSQL and handles the core 'legacy system can't scale' workflow; async jobs handle notifications and reporting; deployed on Azure.",Frontend: React Native (mobile-first). Backend: Python/FastAPI (strong fit for data-heavy logic and quick iteration). Database: PostgreSQL (relational integrity for transactional records). Hosting: Azure (fits an existing Microsoft 365 / enterprise agreement).,Attorney-client privilege-aware access controls; strict data segregation by matter.,"{""discovery_weeks"": 1, ""design_weeks"": 3, ""build_weeks"": 6, ""test_weeks"": 1, ""deploy_weeks"": 1, ""total_weeks"": 12}",mid
103531,Food & Beverage,"a 2,000+ employee enterprise",enterprise,Slow reporting cycles,"We're a 2,000+ employee enterprise in the food & beverage space. Monthly leadership reports take a week to assemble from five different exports. Right now we rely on Excel/Google Sheets. We'd like this fixed in roughly 6 weeks, budget is around under $20K. Key people involved: Operations Manager; Head of Marketing.",Operations Manager; Head of Marketing,Excel/Google Sheets,under $20K,6 weeks,"What's the rough budget band you're planning around? | Is Excel/Google Sheets staying in place, or is this a full replacement? | Do you need this to integrate with any other tools beyond Excel/Google Sheets?","Current state: Monthly leadership reports take a week to assemble from five different exports. Desired state: a single system of record that operations manager and head of marketing can both rely on, with automated handoffs replacing the manual steps in Excel/Google Sheets.","Eliminate manual handling of 'slow reporting cycles', give leadership real-time visibility, and reduce processing time/errors within 6 weeks.",Capture and structure the data currently spread across Excel/Google Sheets; automate the workflow steps tied to 'slow reporting cycles'; provide role-based dashboards for Operations Manager and Head of Marketing; notify stakeholders on status changes.,99.5% uptime target; page loads under 2s for core screens; role-based access control; audit log for all record changes.,Assumes Excel/Google Sheets data can be exported or accessed via API; assumes budget band (under $20K) covers a single-region deployment.,"A Angular client talks to a Python/FastAPI API layer, which reads/writes to MongoDB and handles the core 'slow reporting cycles' workflow; async jobs handle notifications and reporting; deployed on Azure.",Frontend: Angular. Backend: Python/FastAPI (strong fit for data-heavy logic and quick iteration). Database: MongoDB (flexible schema for fast-changing document structures). Hosting: Azure (fits an existing Microsoft 365 / enterprise agreement).,Standard encryption in transit (TLS) and at rest; role-based access scoped per workspace.,"{""discovery_weeks"": 3, ""design_weeks"": 4, ""build_weeks"": 9, ""test_weeks"": 4, ""deploy_weeks"": 1, ""total_weeks"": 21}",low
103532,Logistics,a 5-person startup,startup,Scheduling conflicts,"We're a 5-person startup in the logistics space. Staff and resource scheduling happens in shared spreadsheets and constantly clashes. Right now we rely on a paper filing system. We'd like this fixed in roughly 3 months, budget is around under $20K. Key people involved: Compliance Officer; HR Director.",Compliance Officer; HR Director,a paper filing system,under $20K,3 months,"What's the target timeline — 3 months was mentioned, is that firm? | What does success look like in 90 days after launch? | Is a paper filing system staying in place, or is this a full replacement? | Are there any compliance or data-residency requirements we should design around? | Who signs off on the final solution — is it HR Director?","Current state: Staff and resource scheduling happens in shared spreadsheets and constantly clashes. Desired state: a single system of record that compliance officer and hr director can both rely on, with automated handoffs replacing the manual steps in a paper filing system.","Eliminate manual handling of 'scheduling conflicts', give leadership real-time visibility, and reduce processing time/errors within 3 months.",Capture and structure the data currently spread across a paper filing system; automate the workflow steps tied to 'scheduling conflicts'; provide role-based dashboards for Compliance Officer and HR Director; notify stakeholders on status changes.,99.5% uptime target; page loads under 2s for core screens; role-based access control; audit log for all record changes.,Assumes a paper filing system data can be exported or accessed via API; assumes budget band (under $20K) covers a single-region deployment.,"A Angular client talks to a .NET Core API layer, which reads/writes to PostgreSQL and handles the core 'scheduling conflicts' workflow; async jobs handle notifications and reporting; deployed on GCP.",Frontend: Angular. Backend: .NET Core (aligns with an existing Microsoft-centric environment). Database: PostgreSQL (relational integrity for transactional records). Hosting: GCP (strong data/analytics tooling at competitive cost).,Standard encryption in transit (TLS) and at rest; role-based access scoped per workspace.,"{""discovery_weeks"": 2, ""design_weeks"": 1, ""build_weeks"": 4, ""test_weeks"": 1, ""deploy_weeks"": 1, ""total_weeks"": 9}",low
103533,Insurance,a 40-person SME,sme,Manual order processing,"We're a 40-person SME in the insurance space. Orders are tracked in spreadsheets and email, causing delays and pricing errors. Right now we rely on a homegrown PHP app from 2012. We'd like this fixed in roughly 3 months, budget is around $20K-$75K. Key people involved: Founder/CEO; CTO.",Founder/CEO; CTO,a homegrown PHP app from 2012,$20K-$75K,3 months,"What does success look like in 90 days after launch? | Who signs off on the final solution — is it CTO? | Is a homegrown PHP app from 2012 staying in place, or is this a full replacement? | How many cto currently touch this process each week?","Current state: Orders are tracked in spreadsheets and email, causing delays and pricing errors. Desired state: a single system of record that founder/ceo and cto can both rely on, with automated handoffs replacing the manual steps in a homegrown PHP app from 2012.","Eliminate manual handling of 'manual order processing', give leadership real-time visibility, and reduce processing time/errors within 3 months.",Capture and structure the data currently spread across a homegrown PHP app from 2012; automate the workflow steps tied to 'manual order processing'; provide role-based dashboards for Founder/CEO and CTO; notify stakeholders on status changes.,99.5% uptime target; page loads under 2s for core screens; role-based access control; audit log for all record changes.,Assumes a homegrown PHP app from 2012 data can be exported or accessed via API; assumes budget band ($20K-$75K) covers a single-region deployment.,"A React client talks to a Python/FastAPI API layer, which reads/writes to MongoDB and handles the core 'manual order processing' workflow; async jobs handle notifications and reporting; deployed on Azure.",Frontend: React. Backend: Python/FastAPI (strong fit for data-heavy logic and quick iteration). Database: MongoDB (flexible schema for fast-changing document structures). Hosting: Azure (fits an existing Microsoft 365 / enterprise agreement).,SOC 2-aligned access logging; state-level data privacy review.,"{""discovery_weeks"": 2, ""design_weeks"": 1, ""build_weeks"": 7, ""test_weeks"": 3, ""deploy_weeks"": 1, ""total_weeks"": 14}",low
103534,Government,a 300-person mid-market company,mid-market,No real-time tracking,"We're a 300-person mid-market company in the government space. Shipments and assets can't be tracked once they leave the facility. Right now we rely on QuickBooks. We'd like this fixed in roughly 3 months, budget is around $250K-$750K. Key people involved: HR Director; Operations Manager; CTO; Head of Marketing.",HR Director; Operations Manager; CTO; Head of Marketing,QuickBooks,$250K-$750K,3 months,What does success look like in 90 days after launch? | Do you need this to integrate with any other tools beyond QuickBooks? | How many cto currently touch this process each week?,"Current state: Shipments and assets can't be tracked once they leave the facility. Desired state: a single system of record that hr director and head of marketing can both rely on, with automated handoffs replacing the manual steps in QuickBooks.","Eliminate manual handling of 'no real-time tracking', give leadership real-time visibility, and reduce processing time/errors within 3 months.",Capture and structure the data currently spread across QuickBooks; automate the workflow steps tied to 'no real-time tracking'; provide role-based dashboards for HR Director and Head of Marketing; notify stakeholders on status changes.,99.5% uptime target; page loads under 2s for core screens; role-based access control; audit log for all record changes.,Assumes QuickBooks data can be exported or accessed via API; assumes budget band ($250K-$750K) covers a single-region deployment.,"A React Native (mobile-first) client talks to a Python/FastAPI API layer, which reads/writes to PostgreSQL and handles the core 'no real-time tracking' workflow; async jobs handle notifications and reporting; deployed on GCP.",Frontend: React Native (mobile-first). Backend: Python/FastAPI (strong fit for data-heavy logic and quick iteration). Database: PostgreSQL (relational integrity for transactional records). Hosting: GCP (strong data/analytics tooling at competitive cost).,FedRAMP/StateRAMP posture review; strict data residency and audit logging.,"{""discovery_weeks"": 2, ""design_weeks"": 1, ""build_weeks"": 7, ""test_weeks"": 2, ""deploy_weeks"": 1, ""total_weeks"": 13}",mid
103535,Fashion & Apparel,a 40-person SME,sme,Manual order processing,"We're a 40-person SME in the fashion & apparel space. Orders are tracked in spreadsheets and email, causing delays and pricing errors. Right now we rely on QuickBooks. We'd like this fixed in roughly 12-18 months, budget is around under $20K. Key people involved: VP of Sales; Warehouse Supervisors.",VP of Sales; Warehouse Supervisors,QuickBooks,under $20K,12-18 months,What does success look like in 90 days after launch? | Who signs off on the final solution — is it Warehouse Supervisors? | What's the rough budget band you're planning around?,"Current state: Orders are tracked in spreadsheets and email, causing delays and pricing errors. Desired state: a single system of record that vp of sales and warehouse supervisors can both rely on, with automated handoffs replacing the manual steps in QuickBooks.","Eliminate manual handling of 'manual order processing', give leadership real-time visibility, and reduce processing time/errors within 12-18 months.",Capture and structure the data currently spread across QuickBooks; automate the workflow steps tied to 'manual order processing'; provide role-based dashboards for VP of Sales and Warehouse Supervisors; notify stakeholders on status changes.,99.5% uptime target; page loads under 2s for core screens; role-based access control; audit log for all record changes.,Assumes QuickBooks data can be exported or accessed via API; assumes budget band (under $20K) covers a single-region deployment.,"A React Native (mobile-first) client talks to a .NET Core API layer, which reads/writes to PostgreSQL and handles the core 'manual order processing' workflow; async jobs handle notifications and reporting; deployed on AWS.",Frontend: React Native (mobile-first). Backend: .NET Core (aligns with an existing Microsoft-centric environment). Database: PostgreSQL (relational integrity for transactional records). Hosting: AWS (broad managed-service ecosystem and mature tooling).,Standard encryption in transit (TLS) and at rest; role-based access scoped per workspace.,"{""discovery_weeks"": 1, ""design_weeks"": 2, ""build_weeks"": 8, ""test_weeks"": 2, ""deploy_weeks"": 2, ""total_weeks"": 15}",low
103536,Hospitality,a 5-person startup,startup,Slow reporting cycles,"We're a 5-person startup in the hospitality space. Monthly leadership reports take a week to assemble from five different exports. Right now we rely on Excel/Google Sheets. We'd like this fixed in roughly 12-18 months, budget is around $75K-$250K. Key people involved: Finance Controller; IT Director.",Finance Controller; IT Director,Excel/Google Sheets,$75K-$250K,12-18 months,"What's the rough budget band you're planning around? | What does success look like in 90 days after launch? | Who signs off on the final solution — is it IT Director? | Is Excel/Google Sheets staying in place, or is this a full replacement?","Current state: Monthly leadership reports take a week to assemble from five different exports. Desired state: a single system of record that finance controller and it director can both rely on, with automated handoffs replacing the manual steps in Excel/Google Sheets.","Eliminate manual handling of 'slow reporting cycles', give leadership real-time visibility, and reduce processing time/errors within 12-18 months.",Capture and structure the data currently spread across Excel/Google Sheets; automate the workflow steps tied to 'slow reporting cycles'; provide role-based dashboards for Finance Controller and IT Director; notify stakeholders on status changes.,99.5% uptime target; page loads under 2s for core screens; role-based access control; audit log for all record changes.,Assumes Excel/Google Sheets data can be exported or accessed via API; assumes budget band ($75K-$250K) covers a single-region deployment.,"A React client talks to a .NET Core API layer, which reads/writes to MySQL and handles the core 'slow reporting cycles' workflow; async jobs handle notifications and reporting; deployed on GCP.","Frontend: React. Backend: .NET Core (aligns with an existing Microsoft-centric environment). Database: MySQL (widely supported, low operational overhead). Hosting: GCP (strong data/analytics tooling at competitive cost).",Standard encryption in transit (TLS) and at rest; role-based access scoped per workspace.,"{""discovery_weeks"": 2, ""design_weeks"": 3, ""build_weeks"": 6, ""test_weeks"": 3, ""deploy_weeks"": 1, ""total_weeks"": 15}",mid
103537,Retail,"a 2,000+ employee enterprise",enterprise,Disconnected inventory systems,"We're a 2,000+ employee enterprise in the retail space. Inventory counts differ across warehouses, stores, and the website. Right now we rely on Shopify plus manual spreadsheets. We'd like this fixed in roughly 6 weeks, budget is around $750K+. Key people involved: Product Manager; HR Director; CFO; Operations Manager.",Product Manager; HR Director; CFO; Operations Manager,Shopify plus manual spreadsheets,$750K+,6 weeks,What's the rough budget band you're planning around? | What does success look like in 90 days after launch? | Who signs off on the final solution — is it Operations Manager? | Are there any compliance or data-residency requirements we should design around? | Do you need this to integrate with any other tools beyond Shopify plus manual spreadsheets?,"Current state: Inventory counts differ across warehouses, stores, and the website. Desired state: a single system of record that product manager and operations manager can both rely on, with automated handoffs replacing the manual steps in Shopify plus manual spreadsheets.","Eliminate manual handling of 'disconnected inventory systems', give leadership real-time visibility, and reduce processing time/errors within 6 weeks.",Capture and structure the data currently spread across Shopify plus manual spreadsheets; automate the workflow steps tied to 'disconnected inventory systems'; provide role-based dashboards for Product Manager and Operations Manager; notify stakeholders on status changes.,99.5% uptime target; page loads under 2s for core screens; role-based access control; audit log for all record changes.,Assumes Shopify plus manual spreadsheets data can be exported or accessed via API; assumes budget band ($750K+) covers a single-region deployment.,"A Vue.js client talks to a Java/Spring Boot API layer, which reads/writes to MySQL and handles the core 'disconnected inventory systems' workflow; async jobs handle notifications and reporting; deployed on Azure.","Frontend: Vue.js. Backend: Java/Spring Boot (matches enterprise reliability and existing ops skillset). Database: MySQL (widely supported, low operational overhead). Hosting: Azure (fits an existing Microsoft 365 / enterprise agreement).",Standard encryption in transit (TLS) and at rest; role-based access scoped per workspace.,"{""discovery_weeks"": 1, ""design_weeks"": 4, ""build_weeks"": 4, ""test_weeks"": 1, ""deploy_weeks"": 1, ""total_weeks"": 11}",high
